Cruise,MM/DD/YYYY HH:MM,Year,Month,Season,Season_abb,Station,Station_Number,Cyanobacteria,Chlorophytes_sp,Prasinophytes,Cryptophytes,Diatoms,Dinoflagellates,Pelagophytes,Haptophytes,Chlorophytes,Tchl_a
2011-26,2011-06-12 23:00,2011,6,Spring,Sp,P26,26,0.0495,0.00017,0.02378,0.00055,0.01065,0.00028,0.02302,0.09912,0.0239,0.20709
2011-27,2011-08-26 20:58,2011,8,Summer,Su,P26,26,0,0.1939,0.0101,0.0062,0.0013,0.0181,0.0574,0.2428,0.204,0.5298
2012-01,2012-02-15 18:48,2012,2,Winter,Wi,P26,26,0.0023,0.0224,0.0253,0.0048,0.0256,0.0366,0.0519,0.1694,0.0477,0.3383
2012-12,2012-06-02 22:55,2012,6,Spring,Sp,P26,26,0.0264,0.073,0.0328,0.0096,0.0451,0.0004,0.0685,0.2084,0.1059,0.4643
2012-13,2012-08-24 19:32,2012,8,Summer,Su,P26,26,0.0006,0.0344,0.0523,0.0001,0.0496,0.1003,0.0466,0.2333,0.0867,0.5172
2013-01,2013-02-12 19:27,2013,2,Winter,Wi,P26,26,0,0.0099,0.0616,0.02,0.0165,0.0276,0.0489,0.1802,0.0715,0.3648
2013-17,2013-06-18 3:02,2013,6,Spring,Sp,P26,26,0.0208,0.015,0.0698,0.0067,0.1322,0.0013,0.0423,0.2097,0.0848,0.4978
2013-18,2013-08-30 23:12,2013,8,Summer,Su,P26,26,0.0058,0.0567,0.0052,0.0039,0.0058,0,0.0154,0.0825,0.0619,0.1754
2014-01,2014-02-20 0:16,2014,2,Winter,Wi,P26,26,0.018,0.0232,0.0287,0.0023,0.0067,0.0002,0.0373,0.1271,0.0519,0.2434
2014-18,2014-06-17 21:30,2014,6,Spring,Sp,P26,26,0.0598,0.0495,0.0178,0,0.0034,0,0.0094,0.0766,0.0673,0.2165
2014-19,2014-08-28 16:32,2014,8,Summer,Su,P26,26,0.0009,0.0642,0.0499,0,0.0323,0.0469,0.0384,0.3484,0.1141,0.581
2015-01,2015-02-18 21:48,2015,2,Winter,Wi,P26,26,0.0065,0.0858,0.0042,0.0015,0.0642,0.0358,0.0472,0.2178,0.09,0.463
2015-09,2015-06-17 20:57,2015,6,Spring,Sp,P26,26,0.0393,0.3535,0,0.0063,0,0,0.0114,0.1468,0.3535,0.5573
2015-10,2015-08-28 19:38,2015,8,Summer,Su,P26,26,0.0015,0.0111,0.0252,0,0.0242,0.0394,0.0469,0.2151,0.0362,0.3634
2016-01,2016-02-16 16:08,2016,2,Winter,Wi,P26,26,0.0019,0.0152,0.0283,0.001,0.0512,0.0495,0.0867,0.2918,0.0436,0.5257
2016-06,2016-06-13 22:32,2016,6,Spring,Sp,P26,26,0.007,0.0917,0.0096,0.0059,0.5681,0.0474,0.0448,0.3019,0.1013,1.0763
2016-08,2016-08-25 21:29,2016,8,Summer,Su,P26,26,0.0038,0.0505,0.0007,0.002,0.0052,0.0379,0.0223,0.1459,0.0512,0.2683
2017-01,2017-02-12 16:33,2017,2,Winter,Wi,P26,26,0.0069,0.0207,0.0261,0.0052,0.0054,0.0033,0.0258,0.131,0.0468,0.2244
2017-06,2017-06-12 21:51,2017,6,Spring,Sp,P26,26,0.0195,0.0522,0.0259,0.0004,0.0072,0.0003,0.0184,0.1012,0.0781,0.2251
2017-08,2017-08-24 20:45,2017,8,Summer,Su,P26,26,0.0006,0.1487,0.0033,0,0.4075,0.1174,0.0389,0.4177,0.152,1.1342
2018-01,2018-02-26 22:03,2018,2,Winter,Wi,P26,26,0,0.0002,0.0171,0.0015,0.0677,0.0059,0.0775,0.2831,0.0173,0.4531
2018-26,2018-06-14 0:10,2018,6,Spring,Sp,P26,26,0.0346,0.0222,0.0098,0.0004,0.001,0.0003,0.0388,0.228,0.032,0.3351
2018-40,2018-09-20 21:19,2018,8,Summer,Su,P26,26,0,0.0374,0.0134,0.0197,0.0183,0.0557,0.0362,0.2485,0.0508,0.4293
2019-001,2019-02-12 17:41,2019,2,Winter,Wi,P26,26,0.0065,0.0234,0.0355,0.0144,0.0173,0.0143,0.0326,0.2335,0.0589,0.3774
2019-006,2019-06-10 21:56,2019,6,Spring,Sp,P26,26,0.0003,0.1075,0.1245,0.0164,0.0041,0.0352,0.0634,0.6257,0.232,0.977
2019-008,2019-08-23 18:01,2019,8,Summer,Su,P26,26,0,0.0633,0.1092,0.0003,0.0712,0.0584,0.0377,0.3274,0.1726,0.6677
2020-001,2020-02-16 19:09,2020,2,Winter,Wi,P26,26,0.0041,0.0292,0.0045,0.0049,0.0447,0.0231,0.0297,0.1371,0.0337,0.2772
2020-006,,2020,6,Spring,Sp,P26,26,,,,,,,,,,
2020-008,2020-08-20 19:29,2020,8,Summer,Su,P26,26,0.0125,0.0223,0.0115,0.0028,0.0096,0.0442,0.0079,0.134,0.0338,0.2449
2021-001,2021-02-09 15:58,2021,2,Winter,Wi,P26,26,0.0043,0.0091,0.0552,0.0118,0.0829,0.0197,0.0396,0.171,0.0643,0.3937
2021-006,2021-05-11 0:22,2021,6,Spring,Sp,P26,26,0.0113,0.0035,0.0044,0.0033,0.0617,0.0002,0.0348,0.0964,0.0079,0.2156
2021-008,2021-09-01 19:50,2021,8,Summer,Su,P26,26,0.0052,0.0282,0.005,0.0058,0,0.012,0.0152,0.1294,0.0332,0.2009
2022-001,2022-03-10 17:27,2022,2,Winter,Wi,P26,26,0.0236,0.0376,0.0398,0.0115,0.0094,0.0057,0.035,0.1509,0.0774,0.3136
2022-006,,2022,6,Spring,Sp,P26,26,,,,,,,,,,
2022-008,2022-08-19 21:05,2022,8,Summer,Su,P26,26,0.0016,0.0557,0.0028,0.0039,0.0009,0.0313,0.0281,0.2037,0.0585,0.328
